strongs_number,telugu_word,telugu_meaning,hindi_word,hindi_meaning
H0001,అబ్,తండ్రి (పితృ సంబంధం),अब्,पिता (पितृ संबंध)
H0002,అబ్,తండ్రి (అరమాయిక్),अब्,पिता (अरामी)
H0003,ఏబ్,పచ్చని మొక్క,एब्,हरा पौधा
H0006,ఆబద్,నశించు - నాశనం చేయు,आबद्,नाश होना - नष्ट करना
H0014,ఆబా,అంగీకరించు - సమ్మతించు,आबा,स्वीकार करना - सहमत होना
H0068,ఎబెన్,రాయి,एबेन,पत्थर
H0085,అబ్రాహాం,సమూహమునకు తండ్రి,अब्राहम,समूह का पिता
H0113,ఆదోన్,ప్రభువు - యజమాని,आदोन,प्रभु - स्वामी
H0119,ఆదమ్,ఎర్రగా చేయు,आदम,लाल होना
H0120,ఆదామ్,మానవుడు - మనుష్యుడు,आदाम,मनुष्य - इंसान
H0136,అదోనాయ్,ప్రభువు (దేవుని పేరు),अदोनाय,प्रभु (परमेश्वर का नाम)
H0157,ఆహబ్,ప్రేమించు,आहब्,प्रेम करना
H0430,ఎలోహీమ్,దేవుడు (బహువచనం),एलोहीम,परमेश्वर (बहुवचन)
H0559,ఆమర్,చెప్పు - పలుకు,आमर,कहना - बोलना
H0776,ఎరెత్స్,భూమి - దేశము,एरेट्स,पृथ्वी - देश
H0853,ఎత్,వస్తు గుర్తు (వ్యాకరణం),एत्,वस्तु चिह्न (व्याकरण)
H1254,బారా,సృష్టించు (శూన్యం నుండి),बारा,सृजना करना (शून्य से)
H1696,దాబార్,మాట్లాడు,दाबार्,बात करना
H1961,హాయా,ఉండు - జరుగు,हाया,होना - घटित होना
H2617,చెసెద్,కృప - దయ,खेसेद,कृपा - दया
H3068,యహ్వే,ప్రభువు (దేవుని నామం),यहवे,यहोवा (परमेश्वर का नाम)
H3478,యిశ్రాయేల్,దేవునితో పోరాడినవాడు,यिस्राएल,परमेश्वर से लड़नेवाला
H4325,మయిమ్,నీళ్ళు,मयिम,पानी
H5315,నెఫెష్,ప్రాణము - ఆత్మ,नेफेश,प्राण - आत्मा
H5769,ఓలామ్,నిత్యము - శాశ్వతము,ओलाम,अनंत - शाश्वत
H6663,త్సాదక్,నీతిమంతుడు,त्सादक,धर्मी होना
H7225,రేషీత్,ఆరంభము - మొదటిది,रेशीत,आरंभ - प्रथम
H7307,రూాచ్,ఆత్మ - గాలి,रूआख,आत्मा - वायु
H7965,షాలోమ్,శాంతి - సమాధానము,शालोम,शांति - सलामती
H8064,షామయిమ్,ఆకాశము,शामयिम,आकाश
